t,e,c,v
1721432910657,h,s,segment.AD
1721432910686,h,s,segment.AC
1721432910699,h,s,segment.AC
1721432910699,h,s,segment.AB
1721432910747,h,s,segment.AB
1721432917537,h,s,segment.AB
1721432917566,h,s,segment.AB
1721432917566,h,t,triangle.ABC
1721432917572,h,t,triangle.ABC
1721432917572,h,s,segment.AC
1721432917638,h,s,segment.AC
1721432917639,h,s,segment.AD
1721432917693,h,s,segment.AD
1721432917693,h,po,A
1721432917717,h,po,A
1721432922133,h,s,segment.AD
1721432922142,h,s,segment.AD
1721432922154,h,t,triangle.ACD
1721432922165,h,t,triangle.ACD
1721432922166,h,s,segment.CD
1721432922177,h,s,segment.CD
1721432937273,h,s,segment.AB
1721432937287,h,s,segment.AB
1721432937287,h,t,triangle.ABC
1721432937317,h,t,triangle.ABC
1721432937318,h,s,segment.AC
1721432937869,h,s,segment.AC
1721432937869,h,t,triangle.ACD
1721432937881,h,t,triangle.ACD
1721432937881,h,s,segment.AD
1721432937905,h,s,segment.AD
1721432938381,h,s,segment.AD
1721432938390,h,s,segment.AD
1721432938390,h,s,segment.AC
1721432938408,h,s,segment.AC
1721432938409,h,t,triangle.ABC
1721432938426,h,t,triangle.ABC
1721432938426,h,s,segment.BC
1721432938432,h,s,segment.BC
1721432941091,h,s,segment.BC
1721432941105,h,s,segment.BC
1721432941105,h,s,segment.AC
1721432941111,h,s,segment.AC
1721432941111,h,t,triangle.ACD
1721432941116,h,t,triangle.ACD
1721432941117,h,s,segment.AD
1721432941129,h,s,segment.AD
1721432956708,c,pr,s4
1721432958324,h,s,segment.AB
1721432958359,h,s,segment.AB
1721432958359,h,t,triangle.ABC
1721432958371,h,t,triangle.ABC
1721432958371,h,s,segment.AC
1721432958408,h,s,segment.AC
1721432958408,h,t,triangle.ACD
1721432958420,h,t,triangle.ACD
1721432958420,h,s,segment.AD
1721432958457,h,s,segment.AD
1721432961760,h,s,segment.AD
1721432961771,h,s,segment.AD
1721432961771,h,s,segment.CD
1721432961778,h,s,segment.CD
1721432974040,h,s,segment.CD
1721432974050,h,s,segment.CD
1721432974050,h,t,triangle.ACD
1721432974056,h,t,triangle.ACD
1721432974056,h,t,triangle.ABC
1721432974081,h,t,triangle.ABC
1721432974081,h,s,segment.AB
1721432974086,h,s,segment.AB
1721432980708,h,s,segment.AB
1721432980729,h,s,segment.AB
1721432980729,h,s,segment.AC
1721432980741,h,s,segment.AC
1721432980741,h,t,triangle.ACD
1721432980754,h,t,triangle.ACD
1721432980754,h,s,segment.AD
1721432980899,h,s,segment.AD
1721432993140,i,,
1721433211562,c,pr-r,s1
1721433211707,c,pr-r,s2
