t,e,c,v
1721853232834,c,sd,Perpendicular
1721853233292,c,sd,Congruent
1721853244999,c,sr,CPCTC
1721853963739,p,l,ADB
1721853968424,p,l,BD
1721853968592,m,d,Angle bisector
1721853970291,p,l,BD
1721853973461,m,d,Angle bisector
1721853973677,p,l,ABC
1721853975862,p,l,D
1721853976427,p,l,D
1721853977228,p,l,AC
1721853982018,a,pr,prove
1721853982931,a,pr,s1
1721853984551,a,pr,s2
1721853985653,a,pr,s3
1721854000557,m,mi,
1721854000640,ml,mi,
1721854001057,h,s,segment.AB
1721854001139,h,s,segment.AB
1721854001156,h,t,triangle.ABD
1721854001189,h,t,triangle.ABD
1721854001192,h,s,segment.BD
1721854001223,h,s,segment.BD
1721854001226,h,t,triangle.BCD
1721854001240,h,t,triangle.BCD
1721854001241,h,s,segment.BC
1721854001273,h,s,segment.BC
1721854001673,h,po,B
1721854001807,h,po,B
1721854002223,h,s,segment.AB
1721854002239,h,s,segment.AB
1721854002242,h,s,segment.BD
1721854002257,h,s,segment.BD
1721854002260,h,s,segment.BC
1721854002323,h,s,segment.BC
1721854002326,h,s,segment.BD
1721854002990,h,s,segment.BD
1721854002994,h,s,segment.CD
1721854003240,h,s,segment.CD
1721854003241,h,s,segment.AD
1721854003259,h,s,segment.AD
1721854005552,a,pr,s4
1721854008743,h,s,segment.AB
1721854008759,h,s,segment.AB
1721854008763,h,s,segment.BD
1721854009294,h,s,segment.BD
1721854009310,h,s,segment.BD
1721854009360,h,s,segment.BD
1721854009363,h,s,segment.AD
1721854009993,h,s,segment.AD
1721854010111,m,mi,
1721854010728,ml,mi,
1721854010860,h,s,segment.AD
1721854010944,h,s,segment.AD
1721854010947,h,t,triangle.ABD
1721854011110,h,t,triangle.ABD
1721854011113,h,s,segment.BD
1721854011177,h,s,segment.BD
1721854011210,h,s,segment.CD
1721854011243,h,s,segment.CD
1721854011261,h,s,segment.CD
1721854011577,h,s,segment.CD
1721854011580,h,s,segment.BD
1721854011595,h,s,segment.BD
1721854011598,h,s,segment.AD
1721854011627,h,s,segment.AD
1721854015580,a,pr,s5
1721854018865,a,pr,s6
1721854025767,m,mi,
1721854025819,ml,mi,
1721854025900,h,s,segment.AB
1721854025935,h,s,segment.AB
1721854025937,h,t,triangle.ABD
1721854026201,h,t,triangle.ABD
1721854026206,h,s,segment.BD
1721854027429,h,s,segment.BD
1721854027430,h,t,triangle.ABD
1721854027681,h,t,triangle.ABD
1721854027698,h,s,segment.BD
1721854027714,h,s,segment.BD
1721854027716,h,s,segment.AD
1721854027764,h,s,segment.AD
1721854028000,h,s,segment.AD
1721854028064,h,s,segment.AD
1721854028066,h,s,segment.BD
1721854028184,h,s,segment.BD
1721854028217,h,t,triangle.ABD
1721854028568,h,t,triangle.ABD
1721854028668,h,s,segment.AD
1721854030669,h,s,segment.AD
1721854030737,h,s,segment.BD
1721854030920,h,s,segment.BD
1721854030923,h,s,segment.CD
1721854031871,h,s,segment.CD
1721854031874,h,s,segment.AD
1721854031937,h,s,segment.AD
1721854032104,m,mi,
1721854032155,ml,mi,
1721854035185,a,pr,s7
1721854040209,a,pr,s8
1721854046128,p,l,ADB
1721854047581,c,pr,s3
1721854048445,m,d,Angle bisector
1721854048467,p,l,ABC
1721854079401,h,s,segment.AB
1721854079420,h,s,segment.AB
1721854079422,h,s,segment.BC
1721854079451,h,s,segment.BC
1721854079514,h,s,segment.BC
1721854079612,h,s,segment.BC
1721854079613,h,t,triangle.BCD
1721854079778,h,t,triangle.BCD
1721854079779,h,s,segment.BD
1721854079893,h,s,segment.BD
1721854079896,h,t,triangle.ABD
1721854081142,h,t,triangle.ABD
1721854081144,h,s,segment.AB
1721854081193,h,s,segment.AB
1721854094622,c,pr,s6
1721854117816,m,mi,
1721854117833,ml,mi,
1721854118066,h,s,segment.AB
1721854118117,h,s,segment.AB
1721854118121,h,t,triangle.ABD
1721854118142,h,t,triangle.ABD
1721854118144,h,s,segment.BD
1721854118184,h,s,segment.BD
1721854118187,h,s,segment.BC
1721854118279,h,s,segment.BC
1721854118444,h,s,segment.BC
1721854118544,h,s,segment.BC
1721854119344,h,s,segment.BC
1721854120128,h,s,segment.BC
1721854120396,h,s,segment.BD
1721854121698,h,s,segment.BD
1721854121702,h,s,segment.AB
1721854125133,h,s,segment.AB
1721854125136,h,s,segment.BD
1721854125198,h,s,segment.BD
1721854125201,h,s,segment.AB
1721854125217,h,s,segment.AB
1721854129485,h,s,segment.AB
1721854129535,h,s,segment.AB
1721854129539,h,s,segment.BD
1721854131869,h,s,segment.BD
1721854131873,h,s,segment.BC
1721854134219,h,s,segment.BC
1721854134221,h,s,segment.BD
1721854134628,h,s,segment.BD
1721854134631,h,s,segment.AB
1721854134852,h,s,segment.AB
1721854135635,h,s,segment.AB
1721854135703,h,s,segment.AB
1721854135706,h,t,triangle.ABD
1721854135753,h,t,triangle.ABD
1721854135785,h,t,triangle.ABD
1721854135835,h,t,triangle.ABD
1721854135838,h,s,segment.BD
1721854136103,h,s,segment.BD
1721854136105,h,s,segment.AD
1721854136219,h,s,segment.AD
1721854136367,h,s,segment.AD
1721854136552,h,s,segment.AD
1721854137260,h,s,segment.BD
1721854137269,h,s,segment.BD
1721854142159,h,po,D
1721854142192,h,po,D
1721854142196,h,s,segment.BD
1721854143589,h,s,segment.BD
1721854147632,h,s,segment.BC
1721854147645,h,s,segment.BC
1721854147662,h,s,segment.BC
1721854148542,h,s,segment.BC
1721854148559,h,s,segment.BC
1721854149009,h,s,segment.BC
1721854149026,h,s,segment.BD
1721854152296,h,s,segment.BD
1721854152300,h,t,triangle.ABD
1721854153045,h,t,triangle.ABD
1721854153047,h,s,segment.BD
1721854165827,h,s,segment.BD
1721854165832,h,t,triangle.ABD
1721854165939,h,t,triangle.ABD
1721854165942,h,s,segment.AB
1721854165969,h,s,segment.AB
1721854166700,p,l,BDC
1721854166899,p,l,ADB
1721854168217,p,l,BDC
1721854170020,p,l,ADB
1721854170821,p,l,BDC
1721854181592,p,l,BDC
1721854182024,p,l,ADB
1721854182808,p,l,BDC
1721854185445,p,l,ADB
1721854189317,p,l,BDC
1721854192082,m,mi,
1721854192315,ml,mi,
1721854192399,h,s,segment.AD
1721854192433,h,s,segment.AD
1721854192450,h,s,segment.BD
1721854192583,h,s,segment.BD
1721854192600,h,t,triangle.ABD
1721854192615,h,t,triangle.ABD
1721854192617,h,s,segment.AB
1721854192649,h,s,segment.AB
1721854193129,h,s,segment.AB
1721854193214,h,s,segment.AB
1721854193497,h,s,segment.BC
1721854193930,h,s,segment.BC
1721854193933,h,s,segment.BD
1721854194114,h,s,segment.BD
1721854194117,h,t,triangle.ABD
1721854194257,h,t,triangle.ABD
1721854194262,h,s,segment.BD
1721854194291,h,s,segment.BD
1721854194292,h,t,triangle.BCD
1721854194307,h,t,triangle.BCD
1721854194310,h,s,segment.BC
1721854194323,h,s,segment.BC
1721854200140,c,pr,s4
1721854201565,p,l,ABC
1721854205854,h,s,segment.AB
1721854205888,h,s,segment.AB
1721854205891,h,t,triangle.ABD
1721854205961,h,t,triangle.ABD
1721854205976,h,s,segment.BD
1721854206034,h,s,segment.BD
1721854206036,h,t,triangle.BCD
1721854206066,h,t,triangle.BCD
1721854206067,h,s,segment.BC
1721854206100,h,s,segment.BC
1721854206351,h,s,segment.BC
1721854206417,h,s,segment.BC
1721854206450,h,s,segment.BC
1721854206484,h,s,segment.BC
1721854206486,h,s,segment.BD
1721854208603,h,s,segment.BD
1721854208636,h,s,segment.BD
1721854208686,h,s,segment.BD
1721854208690,h,s,segment.BC
1721854209587,h,s,segment.BC
1721854209590,h,s,segment.BD
1721854210186,h,s,segment.BD
1721854210204,h,s,segment.CD
1721854210518,h,s,segment.CD
1721854210520,h,s,segment.AD
1721854211051,h,s,segment.AD
1721854211054,h,s,segment.BD
1721854211200,h,s,segment.BD
1721854212085,h,s,segment.BD
1721854212193,h,s,segment.BD
1721854212468,h,s,segment.BD
1721854212719,h,s,segment.BD
1721854212720,h,s,segment.BC
1721854212753,h,s,segment.BC
1721854212757,h,s,segment.AB
1721854212773,h,s,segment.AB
1721854222963,c,pr,s8
1721854230688,c,pr,s7
1721854232533,c,pr,s8
1721854232947,m,mi,
1721854233065,ml,mi,
1721854233385,m,re,
1721854234501,ml,re,
1721854234651,h,s,segment.CD
1721854234667,h,s,segment.CD
1721854234671,h,t,triangle.BCD
1721854234700,h,t,triangle.BCD
1721854234702,h,s,segment.BD
1721854234732,h,s,segment.BD
1721854234735,h,t,triangle.ABD
1721854234833,h,t,triangle.ABD
1721854234836,h,s,segment.AB
1721854234900,h,s,segment.AB
1721854261172,h,s,segment.JM
1721854261193,h,s,segment.JM
1721854262497,c,pr,s1
1721854276036,p,l,MK
1721854276619,m,d,Perpendicular
1721854277788,p,l,MK
1721854278821,p,l,JL
1721854279921,c,pr,s2
1721854279940,p,l,LK
1721854281055,p,l,JK
1721854282106,m,d,Congruent lines
1721854282157,p,l,LK
1721854283010,c,pr,s3
1721854283406,p,l,LMK
1721854295979,h,s,segment.JK
1721854296079,h,s,segment.JK
1721854296082,h,t,triangle.JKM
1721854296247,h,t,triangle.JKM
1721854296264,h,s,segment.JM
1721854296330,h,s,segment.JM
1721854296333,h,s,segment.LM
1721854296396,h,s,segment.LM
1721854296463,h,po,L
1721854296830,h,po,L
1721854296832,h,s,segment.LM
1721854296931,h,s,segment.LM
1721854296935,h,t,triangle.KLM
1721854296949,h,t,triangle.KLM
1721854296979,h,t,triangle.KLM
1721854297112,h,t,triangle.KLM
1721854297113,h,s,segment.KM
1721854297180,h,s,segment.KM
1721854297183,h,t,triangle.JKM
1721854297496,h,t,triangle.JKM
1721854297529,h,s,segment.JM
1721854297930,h,s,segment.JM
1721854297934,h,s,segment.LM
1721854297997,h,s,segment.LM
1721854298264,h,s,segment.LM
1721854298664,h,s,segment.LM
1721854298668,h,s,segment.KM
1721854298682,h,s,segment.KM
1721854298697,h,s,segment.JM
1721854299131,h,s,segment.JM
1721854299137,h,t,triangle.JKM
1721854299248,h,t,triangle.JKM
1721854299253,h,s,segment.KM
1721854302716,h,s,segment.KM
1721854302722,h,t,triangle.JKM
1721854302950,h,t,triangle.JKM
1721854302955,h,s,segment.JM
1721854303448,h,s,segment.JM
1721854303449,h,t,triangle.JKM
1721854303598,h,t,triangle.JKM
1721854303599,h,s,segment.JK
1721854303647,h,s,segment.JK
1721854303866,h,s,segment.JK
1721854304200,h,s,segment.JK
1721854304232,h,s,segment.JK
1721854304333,h,s,segment.JK
1721854304336,h,t,triangle.JKM
1721854304383,h,t,triangle.JKM
1721854304385,h,s,segment.KM
1721854304434,h,s,segment.KM
1721854304438,h,t,triangle.KLM
1721854304454,h,t,triangle.KLM
1721854304457,h,s,segment.KL
1721854304484,h,s,segment.KL
1721854313104,h,s,segment.KL
1721854313154,h,s,segment.KL
1721854313157,h,t,triangle.KLM
1721854313236,h,t,triangle.KLM
1721854313237,h,s,segment.KM
1721854313253,h,s,segment.KM
1721854313254,h,t,triangle.JKM
1721854313288,h,t,triangle.JKM
1721854314121,p,l,LMK
1721854314671,p,l,JMK
1721854315388,p,l,LMK
1721854318239,h,t,triangle.JKM
1721854318256,h,t,triangle.JKM
1721854318273,h,s,segment.JM
1721854318289,h,s,segment.JM
1721854318290,h,s,segment.LM
1721854318307,h,s,segment.LM
1721854321341,h,s,segment.JM
1721854321391,h,s,segment.JM
1721854321394,h,s,segment.KM
1721854321409,h,s,segment.KM
1721854321425,h,s,segment.KM
1721854321442,h,s,segment.KM
1721854321443,h,t,triangle.KLM
1721854321809,h,t,triangle.KLM
1721854321814,h,s,segment.KM
1721854321942,h,s,segment.KM
1721854321947,h,t,triangle.JKM
1721854322191,h,t,triangle.JKM
1721854322207,h,t,triangle.JKM
1721854322241,h,t,triangle.JKM
