t,e,c,v
1721923191128,h,t,triangle.JKM
1721923191129,h,s,segment.JK
1721923191145,h,s,segment.JK
1721923193236,c,pr-r,s1
1721923194008,c,pr,s5
1721923215673,h,po,J
1721923215690,h,po,J
1721923215691,h,s,segment.JM
1721923215723,h,s,segment.JM
1721923215727,h,t,triangle.JKM
1721923216154,h,t,triangle.JKM
1721923216156,h,s,segment.JM
1721923216187,h,s,segment.JM
1721923216421,h,po,M
1721923216455,h,po,M
1721923216457,h,s,segment.LM
1721923216770,h,s,segment.LM
1721923241955,h,s,segment.JK
1721923242005,h,s,segment.JK
1721923242006,h,t,triangle.JKM
1721923242153,h,t,triangle.JKM
1721923242155,h,s,segment.KM
1721923242219,h,s,segment.KM
1721923242222,h,t,triangle.KLM
1721923242286,h,t,triangle.KLM
1721923242289,h,s,segment.LM
1721923242484,h,s,segment.LM
1721923242487,h,t,triangle.KLM
1721923242634,h,t,triangle.KLM
1721923242637,h,s,segment.KM
1721923242885,h,s,segment.KM
1721923242888,h,s,segment.KL
1721923243019,h,s,segment.KL
1721923243201,h,po,L
1721923243251,h,po,L
1721923255527,h,po,M
1721923255560,h,po,M
1721923255564,h,s,segment.LM
1721923255578,h,s,segment.LM
1721923255581,h,t,triangle.KLM
1721923255594,h,t,triangle.KLM
1721923255597,h,s,segment.KM
1721923255692,h,s,segment.KM
1721923255695,h,t,triangle.JKM
1721923255743,h,t,triangle.JKM
1721923255746,h,s,segment.JK
1721923255761,h,s,segment.JK
1721923258961,h,s,segment.JM
1721923259011,h,s,segment.JM
1721923259014,h,t,triangle.JKM
1721923259194,h,t,triangle.JKM
1721923259198,h,s,segment.KM
1721923259259,h,s,segment.KM
1721923259261,h,t,triangle.KLM
1721923259410,h,t,triangle.KLM
1721923259414,h,s,segment.KL
1721923259459,h,s,segment.KL
1721923259509,m,mi,
1721923259942,ml,mi,
1721923270374,h,s,segment.KL
1721923270453,h,s,segment.KL
1721923270457,h,t,triangle.KLM
1721923270515,h,t,triangle.KLM
1721923270517,h,s,segment.KM
1721923270614,h,s,segment.KM
1721923270617,h,t,triangle.JKM
1721923270715,h,t,triangle.JKM
1721923270717,h,s,segment.JK
1721923270915,h,s,segment.JK
1721923273533,h,s,segment.JK
1721923273603,h,s,segment.JK
