t,e,c,v
1720754644437,h,s,segment.JM
1720754644438,h,t,triangle.JKM
1720754644465,h,t,triangle.JKM
1720754644473,h,t,triangle.JKM
1720754644480,h,t,triangle.JKM
1720754644481,h,s,segment.KM
1720754644492,h,s,segment.KM
1720754644493,h,s,segment.KL
1720754644500,h,s,segment.KL
1720754645306,h,po,L
1720754645320,h,po,L
1720754645321,h,s,segment.KL
1720754645334,h,s,segment.KL
1720754645335,h,t,triangle.KLM
1720754645341,h,t,triangle.KLM
1720754645342,h,s,segment.LM
1720754645390,h,s,segment.LM
1720754645390,h,s,segment.JM
1720754645494,h,s,segment.JM
1720754645494,h,s,segment.KM
1720754645550,h,s,segment.KM
1720754645550,h,s,segment.KL
1720754645558,h,s,segment.KL
1720754645559,h,po,K
1720754645564,h,po,K
1720754646078,h,s,segment.JK
1720754646092,h,s,segment.JK
1720754646092,h,t,triangle.JKM
1720754646100,h,t,triangle.JKM
1720754646100,h,s,segment.KM
1720754646273,h,s,segment.KM
1720754646274,h,t,triangle.JKM
1720754646328,h,t,triangle.JKM
1720754646329,h,s,segment.JK
1720754646342,h,s,segment.JK
1720754649221,p,l,JMK
1720754649870,c,pr,s4
1720754656585,c,pr,s3
1720754668636,h,s,segment.KL
1720754668650,h,s,segment.KL
1720754668775,h,s,segment.KL
1720754668790,h,s,segment.KL
1720754668791,h,t,triangle.KLM
1720754668803,h,t,triangle.KLM
1720754668810,h,t,triangle.KLM
1720754668817,h,t,triangle.KLM
1720754668818,h,s,segment.LM
1720754668831,h,s,segment.LM
1720754669039,h,s,segment.JM
1720754669047,h,s,segment.JM
1720754669048,h,t,triangle.JKM
1720754669075,h,t,triangle.JKM
1720754669076,h,s,segment.JK
1720754669082,h,s,segment.JK
1720754669457,h,s,segment.JK
1720754669464,h,s,segment.JK
1720754669471,h,s,segment.KM
1720754669478,h,s,segment.KM
1720754669478,h,t,triangle.KLM
1720754669520,h,t,triangle.KLM
1720754669521,h,s,segment.KL
1720754669547,h,s,segment.KL
1720754669610,h,s,segment.KL
1720754669638,h,s,segment.KL
1720754669639,h,t,triangle.KLM
1720754669686,h,t,triangle.KLM
1720754669687,h,s,segment.KM
1720754669694,h,s,segment.KM
1720754669694,h,t,triangle.JKM
1720754669701,h,t,triangle.JKM
1720754669923,h,s,segment.JK
1720754669930,h,s,segment.JK
1720754669931,h,t,triangle.JKM
1720754669937,h,t,triangle.JKM
1720754669944,h,s,segment.KM
1720754669964,h,s,segment.KM
1720754669965,h,t,triangle.JKM
1720754669972,h,t,triangle.JKM
1720754669972,h,s,segment.JM
1720754669992,h,s,segment.JM
1720754678337,h,s,segment.JM
1720754678344,h,s,segment.JM
1720754678345,h,t,triangle.JKM
1720754678365,h,t,triangle.JKM
1720754678365,h,s,segment.KM
1720754678497,h,s,segment.KM
1720754678497,h,t,triangle.JKM
1720754678587,h,t,triangle.JKM
1720754678588,h,s,segment.JK
1720754678615,h,s,segment.JK
1720754680604,h,s,segment.KL
1720754680611,h,s,segment.KL
1720754680612,h,s,segment.KM
1720754680729,h,s,segment.KM
1720754680730,h,s,segment.LM
1720754680764,h,s,segment.LM
1720754680765,h,po,M
1720754681160,h,po,M
1720754681188,h,s,segment.JM
1720754681216,h,s,segment.JM
1720754681216,h,s,segment.JK
1720754681223,h,s,segment.JK
1720754683578,c,pr,s4
1720754684602,c,pr,s5
1720754688003,h,po,A
1720754688010,h,po,A
1720754695861,m,d,Congruent lines
1720754698898,c,pr-r,s1
1720754699504,c,pr-r,s2
1720754700178,c,pr-r,s3
1720754701805,c,pr-r,s4
1720754702724,p,l,DMB
1720754708792,c,pr-r,s5
1720754714212,m,d,Congruent lines
1720754721423,h,s,segment.AC
1720754721431,h,s,segment.AC
1720754721432,h,t,triangle.ACM
1720754721451,h,t,triangle.ACM
1720754721451,h,s,segment.AM
1720754721458,h,s,segment.AM
1720754721869,h,s,segment.AM
1720754721876,h,s,segment.AM
1720754721877,h,s,segment.AC
1720754721883,h,s,segment.AC
1720754724567,h,po,A
1720754724573,h,po,A
1720754729261,c,pr,s4
1720754736624,p,l,M
1720754742356,c,pr-r,s6
1720754743014,c,pr-r,s7
1720754747500,h,po,C
1720754747514,h,po,C
1720754750128,p,l,BD
1720754750379,m,d,Parallel
1720754750414,p,l,AC
1720754751005,m,d,Parallel
1720754751040,p,l,BD
1720754751749,m,d,Parallel
1720754751784,p,l,AC
1720754752166,m,d,Parallel
1720754752187,p,l,BD
1720754754788,h,s,segment.CM
1720754754815,h,s,segment.CM
1720754754816,h,t,triangle.ACM
1720754755108,h,t,triangle.ACM
1720754755108,h,s,segment.CM
1720754755122,h,s,segment.CM
1720754755129,h,po,C
1720754755142,h,po,C
1720754756762,c,pr,s6
1720754758199,c,pr,s7
1720754759982,h,s,segment.CM
1720754760010,h,s,segment.CM
1720754760011,h,t,triangle.ACM
1720754760198,h,t,triangle.ACM
1720754760198,h,s,segment.AC
1720754760206,h,s,segment.AC
1720754760207,h,s,segment.AM
1720754760420,h,s,segment.AM
1720754760421,h,s,segment.AC
1720754760442,h,s,segment.AC
1720754760449,h,s,segment.AC
1720754760469,h,s,segment.AC
1720754760470,h,t,triangle.ACM
1720754760754,h,t,triangle.ACM
1720754760762,h,s,segment.AC
1720754760796,h,s,segment.AC
1720754760797,h,s,segment.AM
1720754761032,h,s,segment.AM
1720754761102,h,s,segment.DM
1720754761143,h,s,segment.DM
1720754761165,h,t,triangle.BDM
1720754761491,h,t,triangle.BDM
1720754761492,h,s,segment.BM
1720754761519,h,s,segment.BM
1720754761520,h,s,segment.CM
1720754761528,h,s,segment.CM
1720754761529,h,s,segment.AM
1720754761533,h,s,segment.AM
1720754761534,h,t,triangle.ACM
1720754761547,h,t,triangle.ACM
1720754761555,h,t,triangle.ACM
1720754761728,h,t,triangle.ACM
1720754761735,h,s,segment.AM
1720754761776,h,s,segment.AM
1720754761777,h,po,M
1720754761784,h,po,M
1720754761785,h,s,segment.DM
1720754761798,h,s,segment.DM
1720754761799,h,t,triangle.BDM
1720754762062,h,t,triangle.BDM
1720754762063,h,s,segment.DM
1720754762069,h,s,segment.DM
1720754762069,h,po,M
1720754762076,h,po,M
1720754762077,h,s,segment.AM
1720754762096,h,s,segment.AM
1720754762103,h,t,triangle.ACM
1720754762256,h,t,triangle.ACM
1720754762257,h,s,segment.CM
1720754762270,h,s,segment.CM
1720754762271,h,s,segment.BM
1720754762395,h,s,segment.BM
1720754762472,h,s,segment.CM
1720754762479,h,s,segment.CM
1720754762480,h,t,triangle.ACM
1720754762493,h,t,triangle.ACM
1720754762494,h,s,segment.AC
1720754762500,h,s,segment.AC
1720754762659,h,s,segment.AC
1720754762688,h,s,segment.AC
1720754762689,h,t,triangle.ACM
1720754762701,h,t,triangle.ACM
1720754762702,h,s,segment.CM
1720754762722,h,s,segment.CM
1720754762868,h,s,segment.CM
1720754762882,h,s,segment.CM
1720754762883,h,s,segment.AC
1720754762959,h,s,segment.AC
1720754762966,h,s,segment.AM
1720754762973,h,s,segment.AM
1720754762973,h,po,A
1720754763042,h,po,A
1720754763125,h,s,segment.DM
1720754763133,h,s,segment.DM
1720754763133,h,t,triangle.BDM
1720754763146,h,t,triangle.BDM
1720754763147,h,s,segment.BD
1720754763157,h,s,segment.BD
1720754763612,h,s,segment.CM
1720754763619,h,s,segment.CM
1720754766540,h,s,segment.AC
1720754766575,h,s,segment.AC
1720754766576,h,t,triangle.ACM
1720754766589,h,t,triangle.ACM
1720754766590,h,s,segment.CM
1720754766616,h,s,segment.CM
1720754766929,h,s,segment.CM
1720754766936,h,s,segment.CM
1720754766937,h,t,triangle.ACM
1720754766944,h,t,triangle.ACM
1720754766950,h,s,segment.AM
1720754766957,h,s,segment.AM
1720755082459,h,s,segment.MN
1720755082473,h,s,segment.MN
1720755082474,h,t,triangle.KMN
1720755082480,h,t,triangle.KMN
1720755082481,h,s,segment.KM
1720755082487,h,s,segment.KM
1720755082489,h,t,triangle.KLM
1720755082508,h,t,triangle.KLM
1720755082508,h,s,segment.LM
1720755082522,h,s,segment.LM
1720755084253,p,l,MNK
1720755086088,h,s,segment.LM
1720755086096,h,s,segment.LM
1720755086096,h,s,segment.KM
1720755086103,h,s,segment.KM
1720755086104,h,t,triangle.KMN
1720755086116,h,t,triangle.KMN
1720755086124,h,t,triangle.KMN
1720755086131,h,t,triangle.KMN
1720755086132,h,s,segment.MN
1720755086193,h,s,segment.MN
1720755087347,p,l,LM
1720755087521,p,l,KLMN
1720755088188,p,l,KLMN
1720755089732,h,s,segment.LM
1720755090824,h,s,segment.LM
1720755093063,h,s,segment.LM
1720755094843,h,s,segment.LM
1720755094845,h,t,triangle.KLM
1720755094892,h,t,triangle.KLM
1720755094893,h,s,segment.KM
1720755094906,h,s,segment.KM
1720755094907,h,t,triangle.KMN
1720755094976,h,t,triangle.KMN
1720755094976,h,s,segment.KN
