t,e,c,v
1721853578613,h,s,segment.BF
1721853578629,h,s,segment.BF
1721853580050,p,l,CGB
1721853580435,p,l,BD
1721853586035,m,d,Perpendicular
1721853586269,p,l,AC
1721853588085,p,l,AD
1721853590234,m,d,Congruent lines
1721853590485,p,l,DC
1721853591771,p,l,FAB
1721853593753,m,d,Congruent angles
1721853593769,p,l,GCB
1721853595067,m,d,Congruent angles
1721853595134,p,l,FAB
1721853595683,m,d,Congruent angles
1721853595720,p,l,GCB
1721853596783,p,l,FAB
1721853597249,m,d,Congruent angles
1721853597299,p,l,GCB
1721853598301,p,l,CGB
1721853598401,p,l,AD
1721853599270,m,d,Congruent lines
1721853599287,p,l,DC
1721853600534,h,s,segment.AF
1721853600616,h,s,segment.AF
1721853600619,h,t,triangle.ABF
1721853600682,h,t,triangle.ABF
1721853600698,h,s,segment.BF
1721853600730,h,s,segment.BF
1721853600752,h,po,B
1721853600814,h,po,B
1721853600816,h,s,segment.BG
1721853600848,h,s,segment.BG
1721853600849,h,s,segment.BC
1721853600866,h,s,segment.BC
1721853600868,h,s,segment.BD
1721853600965,h,s,segment.BD
1721853600983,h,s,segment.BD
1721853601317,h,s,segment.BD
1721853601320,h,s,segment.CD
1721853601364,h,s,segment.CD
1721853602801,p,l,AF
1721853605269,m,d,Congruent lines
1721853605302,p,l,CG
1721853608153,h,s,segment.AF
1721853608385,h,s,segment.AF
1721853610118,p,l,AFB
1721853611036,m,d,Congruent angles
1721853611056,p,l,CGB
1721853611515,p,l,CGB
1721853614292,c,pr-r,s1
1721853615650,c,pr-r,s2
1721853616257,c,pr-r,s3
1721853617235,c,pr-r,s4
1721853622102,c,pr-r,s5
1721853623769,m,mi,
1721853623969,ml,mi,
1721853623981,h,s,segment.AD
1721853624000,h,s,segment.AD
1721853624001,h,po,D
1721853624016,h,po,D
1721853624017,h,t,triangle.BCD
1721853624352,h,t,triangle.BCD
1721853624355,h,s,segment.BD
1721853624565,h,s,segment.BD
1721853624569,h,t,triangle.ABD
1721853624719,h,t,triangle.ABD
1721853624722,h,s,segment.BD
1721853625418,h,s,segment.BD
1721853625422,h,t,triangle.BCD
1721853625531,h,t,triangle.BCD
1721853625533,h,s,segment.BD
1721853625549,h,s,segment.BD
1721853625553,h,t,triangle.ABD
1721853625583,h,t,triangle.ABD
1721853625586,h,s,segment.AB
1721853625666,h,s,segment.AB
1721853625683,h,s,segment.BD
1721853625699,h,s,segment.BD
1721853625700,h,t,triangle.BCD
1721853625716,h,t,triangle.BCD
1721853625717,h,s,segment.BC
1721853625800,h,s,segment.BC
1721853625804,h,t,triangle.BCD
1721853625847,h,t,triangle.BCD
1721853625849,h,s,segment.BD
1721853626085,h,s,segment.BD
1721853626088,h,t,triangle.BCD
1721853626215,h,t,triangle.BCD
1721853626218,h,s,segment.BD
1721853626234,h,s,segment.BD
1721853626236,h,s,segment.AD
1721853626266,h,s,segment.AD
1721853626531,h,s,segment.AF
1721853626548,h,s,segment.AF
1721853626550,h,t,triangle.ABF
1721853626599,h,t,triangle.ABF
1721853626600,h,t,triangle.ABD
1721853626617,h,t,triangle.ABD
1721853626620,h,s,segment.BD
1721853626665,h,s,segment.BD
1721853626667,h,s,segment.AD
1721853626682,h,s,segment.AD
1721853626699,m,mi,
1721853627535,ml,mi,
1721853629691,c,pr-r,s6
1721853630633,m,mi,
1721853630983,ml,mi,
1721853631032,h,s,segment.AD
1721853631048,h,s,segment.AD
1721853631051,h,s,segment.CD
1721853631065,h,s,segment.CD
1721853631067,h,po,D
1721853631182,h,po,D
1721853631185,h,s,segment.BD
1721853631516,h,s,segment.BD
1721853631519,h,s,segment.AD
1721853631599,h,s,segment.AD
1721853633267,h,s,segment.AF
1721853633286,h,s,segment.AF
1721853633290,h,s,segment.AD
1721853633318,h,s,segment.AD
1721853633551,h,s,segment.AD
1721853634284,h,s,segment.AD
1721853634288,h,t,triangle.ABD
1721853634433,h,t,triangle.ABD
1721853634437,h,s,segment.AB
1721853634549,h,s,segment.AB
1721853634552,h,s,segment.BD
1721853634600,h,s,segment.BD
1721853634603,h,s,segment.BC
1721853635081,h,s,segment.BC
1721853635133,h,t,triangle.BCD
1721853635352,h,t,triangle.BCD
1721853635356,h,s,segment.BD
1721853635385,h,s,segment.BD
1721853635389,h,t,triangle.ABD
1721853635483,h,t,triangle.ABD
